epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0899,1.45523,6.0385,1.25955,0.02236,0.14286,0.01636,0.00905,1.51547,9.07216,1.47705,6.668e-05,6.668e-05,6.668e-05
2,27.5105,1.95556,6.90493,1.79732,0.4001,0.36905,0.30526,0.23708,1.03486,4.6687,1.10929,0.000147555,0.000147555,0.000147555
3,31.0755,1.30993,3.75136,1.14137,0.30144,0.30952,0.30268,0.20921,1.27697,9.45713,1.18655,0.000225678,0.000225678,0.000225678
4,33.4222,1.38571,2.9804,1.16823,0.36629,0.52999,0.38394,0.22548,1.39894,5.4094,1.3438,0.000301052,0.000301052,0.000301052
5,35.816,1.40508,2.31901,1.25965,0.46505,0.55952,0.49438,0.23865,1.39551,4.08632,1.35825,0.000373675,0.000373675,0.000373675
6,38.1208,1.40089,2.28022,1.08918,0.35682,0.40981,0.44112,0.2365,1.77335,4.68896,2.24336,0.000443547,0.000443547,0.000443547
7,41.2572,1.44206,1.7156,1.18765,0.72722,0.6019,0.64272,0.34563,1.42786,4.86423,1.48536,0.000510669,0.000510669,0.000510669
8,43.8652,1.3812,1.65967,1.14181,0.78949,0.42913,0.61826,0.33931,1.41426,4.60271,1.48971,0.00057504,0.00057504,0.00057504
9,46.2884,1.46287,1.53155,1.14629,0.49776,0.70238,0.60454,0.39072,1.28288,4.08114,1.57471,0.000636661,0.000636661,0.000636661
10,48.6553,1.2461,1.27269,1.1232,0.30023,0.60714,0.3665,0.2469,1.23394,4.15354,1.42389,0.000695531,0.000695531,0.000695531
11,51.0868,1.57042,1.45206,1.23155,0.60548,0.52649,0.51242,0.33835,1.3343,4.24231,1.82055,0.00075165,0.00075165,0.00075165
12,54.0093,1.2196,1.10833,1.09719,0.62686,0.44055,0.4896,0.24666,1.54421,4.3693,1.75728,0.000805019,0.000805019,0.000805019
13,56.5414,1.29827,1.07989,1.1838,0.41689,0.67121,0.46713,0.25469,1.63049,3.03279,1.74498,0.000855638,0.000855638,0.000855638
14,58.7964,1.3476,1.01719,1.18267,0.56376,0.91667,0.68467,0.39608,1.37269,2.38696,1.39535,0.000903506,0.000903506,0.000903506
15,61.1015,1.22855,0.94724,1.09067,0.23224,0.69048,0.32278,0.14817,1.85267,2.56325,1.69885,0.000948623,0.000948623,0.000948623
16,63.4029,1.36877,1.13979,1.1652,0.47963,0.38095,0.42376,0.20043,1.95888,2.56287,1.84161,0.00099099,0.00099099,0.00099099
17,65.713,1.295,1.06946,1.13134,0.46559,0.75,0.50962,0.2604,1.49155,3.00914,2.03143,0.00103061,0.00103061,0.00103061
18,68.8159,1.23618,1.08175,1.10103,0.59859,0.22619,0.28638,0.15315,2.21398,3.80368,2.57662,0.00106747,0.00106747,0.00106747
19,70.9427,1.26417,1.23817,1.1274,0.48134,0.7619,0.57458,0.25358,1.84862,2.11611,2.88564,0.00110159,0.00110159,0.00110159
20,73.049,1.21882,0.96595,1.15397,0.44578,0.7619,0.60639,0.35216,1.86224,4.07745,3.02904,0.00113295,0.00113295,0.00113295
21,75.507,1.22726,1.01331,1.19674,0.55003,0.83201,0.48624,0.2888,1.87464,5.2692,3.38869,0.00111689,0.00111689,0.00111689
22,77.5839,1.14035,1.00246,1.04017,0.23512,0.86221,0.42167,0.21971,1.88578,6.6589,2.53848,0.00108938,0.00108938,0.00108938
23,80.69,1.13383,0.89685,1.10133,0.48547,0.42693,0.543,0.28739,1.55271,3.61021,2.16164,0.00106188,0.00106188,0.00106188
24,83.2666,1.19362,0.86389,1.09179,0.30165,0.52381,0.39963,0.18992,1.64249,4.80593,1.64178,0.00103437,0.00103437,0.00103437
25,85.5196,1.12315,0.84906,1.22856,0.42506,0.43555,0.46716,0.2098,1.71958,3.2274,1.71673,0.00100687,0.00100687,0.00100687
26,87.8853,1.15374,0.76046,1.04931,0.56231,0.52381,0.70453,0.35436,1.78844,1.781,1.87859,0.000979362,0.000979362,0.000979362
27,90.0898,1.10085,0.78461,1.03382,0.81101,0.71561,0.83749,0.40166,1.70344,1.36744,1.70419,0.000951857,0.000951857,0.000951857
28,92.7321,0.99888,0.73101,0.99332,0.52628,0.71424,0.68921,0.44967,1.20468,1.51804,1.47447,0.000924352,0.000924352,0.000924352
29,95.6006,1.02218,0.7589,1.0696,0.61457,0.82545,0.77871,0.53711,1.20575,1.13786,1.47461,0.000896846,0.000896846,0.000896846
30,97.9755,1.02597,0.6858,1.09389,0.63757,0.82194,0.8528,0.50722,1.38376,1.49077,1.64306,0.00086934,0.00086934,0.00086934
31,100.179,1.05515,0.77761,1.04745,0.57364,0.9075,0.80507,0.40477,1.65365,1.392,2.01856,0.000841835,0.000841835,0.000841835
32,102.396,1.01511,0.65529,0.97416,0.80251,0.70238,0.71143,0.33582,1.55283,1.67603,1.40756,0.000814329,0.000814329,0.000814329
33,104.761,1.15456,0.75218,1.02197,0.72735,0.76841,0.65202,0.33032,1.63139,1.85903,1.49948,0.000786824,0.000786824,0.000786824
34,107.795,1.08168,0.79418,1.14893,0.75186,0.71,0.74941,0.39649,1.433,1.84239,1.44124,0.000759318,0.000759318,0.000759318
35,109.996,1.12372,0.68383,1.03296,0.69712,0.7619,0.77023,0.45744,1.33054,1.54815,1.33822,0.000731813,0.000731813,0.000731813
36,112.205,1.10751,0.70595,1.04776,0.70217,0.83866,0.8048,0.4462,1.34593,1.63642,1.347,0.000704307,0.000704307,0.000704307
37,114.477,1.08713,0.74118,1.05294,0.815,0.92857,0.94519,0.54099,1.20574,1.03589,1.23919,0.000676802,0.000676802,0.000676802
38,116.727,1.06902,0.74517,1.04451,0.76717,0.92857,0.93083,0.55176,1.17957,0.98621,1.25113,0.000649297,0.000649297,0.000649297
39,119.481,0.97186,0.64469,1.00264,0.71089,0.84524,0.80809,0.57215,0.93466,0.99776,1.11607,0.000621791,0.000621791,0.000621791
40,122.42,0.96606,0.66115,0.96842,0.86771,0.84524,0.87614,0.60786,0.85742,0.88147,1.06508,0.000594286,0.000594286,0.000594286
41,124.687,1.0328,0.6588,1.08527,0.86759,0.77937,0.88332,0.62617,0.90293,0.76896,1.06451,0.00056678,0.00056678,0.00056678
42,127.111,1.00608,0.74143,1.05005,0.83357,0.92857,0.92146,0.63636,0.94761,0.75745,1.06039,0.000539275,0.000539275,0.000539275
43,129.333,0.97803,0.58787,1.00513,0.82572,0.89959,0.94,0.62284,0.96129,0.66049,1.09916,0.000511769,0.000511769,0.000511769
44,132.18,1.01558,0.74721,1.00763,0.92082,0.98205,0.98357,0.60379,1.06184,0.62964,1.24041,0.000484263,0.000484263,0.000484263
45,135.108,0.86831,0.5862,0.99628,0.9152,0.99179,0.97143,0.62287,1.02514,0.60412,1.17453,0.000456758,0.000456758,0.000456758
46,137.284,0.92749,0.63603,0.96871,0.98689,0.97939,0.995,0.63741,0.94391,0.60156,1.09738,0.000429253,0.000429253,0.000429253
47,139.521,0.92888,0.62186,0.99585,0.98307,0.99256,0.995,0.65147,0.9156,0.51901,1.08718,0.000401747,0.000401747,0.000401747
48,141.992,1.00515,0.60341,1.14777,0.9912,0.99705,0.995,0.66584,0.96608,0.53235,1.09056,0.000374242,0.000374242,0.000374242
49,144.843,0.98186,0.64148,1.0462,0.97738,1,0.995,0.66796,0.97333,0.56938,1.08316,0.000346736,0.000346736,0.000346736
50,147.782,0.96425,0.55472,0.96374,0.96536,1,0.995,0.66257,0.94102,0.55113,1.06836,0.000319231,0.000319231,0.000319231
51,155.531,0.70557,0.52348,0.93725,0.95439,1,0.995,0.63729,0.90434,0.52363,1.04842,0.000291725,0.000291725,0.000291725
