epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0889,2.01428,5.93924,1.47095,0.18519,0.07692,0.06223,0.05,1.44884,5.28624,1.15289,0.00011669,0.00011669,0.00011669
2,35.0329,1.9539,4.60057,1.21836,0.39324,0.61742,0.3835,0.19127,1.40923,4.56977,1.14999,0.000246956,0.000246956,0.000246956
3,38.4932,1.75422,2.7807,1.11636,0.63411,0.38674,0.51152,0.30337,1.38738,3.5507,1.3157,0.000373921,0.000373921,0.000373921
4,42.2717,1.56998,1.83237,1.06256,0.56401,0.50537,0.57197,0.3317,1.31483,3.03031,1.27415,0.000497585,0.000497585,0.000497585
5,45.1355,1.78457,1.96305,1.17611,0.405,0.57906,0.43795,0.20392,1.62153,5.80954,1.49296,0.000617949,0.000617949,0.000617949
6,47.6683,1.81791,1.72714,1.13269,0.48825,0.56838,0.37663,0.17288,2.01854,4.72377,2.41682,0.000735012,0.000735012,0.000735012
7,50.1705,1.95501,1.62819,1.12314,0.38652,0.28632,0.30488,0.17782,1.90663,3.03365,2.1606,0.000848774,0.000848774,0.000848774
8,53.9148,1.77912,1.45241,1.10213,0.27521,0.38891,0.34014,0.17651,1.62424,3.68142,1.26296,0.000959236,0.000959236,0.000959236
9,56.4976,1.67659,1.36095,1.0261,0.31798,0.57906,0.30255,0.12623,1.98254,3.30324,1.69369,0.0010664,0.0010664,0.0010664
10,59.0173,1.75191,1.3399,1.10931,0.15674,0.38675,0.15839,0.05055,2.28287,3.14508,1.96897,0.00117026,0.00117026,0.00117026
11,61.6809,1.82567,1.30964,1.10152,0.3304,0.5057,0.41755,0.25423,1.54876,1.88901,1.34736,0.00127082,0.00127082,0.00127082
12,64.5439,1.86201,1.48745,1.24815,0.68774,0.57916,0.6091,0.34217,1.67875,1.78584,1.52651,0.00136808,0.00136808,0.00136808
13,67.9497,1.65354,1.24098,1.06703,0.37534,0.64103,0.47103,0.2707,1.64048,3.11182,2.21035,0.00141945,0.00141945,0.00141945
14,70.4691,1.88256,1.24261,1.10397,0.36431,0.4767,0.36105,0.16106,2.00606,3.84308,2.98739,0.00139882,0.00139882,0.00139882
15,73.0952,1.56959,1.27838,0.95895,0.4495,0.4359,0.42143,0.25381,1.65754,3.24662,1.42165,0.00137819,0.00137819,0.00137819
16,75.6066,1.93825,1.27109,1.0512,0.41792,0.47436,0.44259,0.2551,1.53107,1.93399,1.27844,0.00135756,0.00135756,0.00135756
17,78.8559,1.72806,1.15755,1.05827,0.3365,0.55769,0.36733,0.2001,1.59744,3.33749,1.34248,0.00133693,0.00133693,0.00133693
18,81.6567,1.79874,1.10746,1.0279,0.56164,0.60436,0.61324,0.31642,1.53852,1.76519,1.2969,0.0013163,0.0013163,0.0013163
19,84.2119,1.77508,1.12132,1.00708,0.31172,0.59615,0.45239,0.26755,1.51363,2.04381,1.39293,0.00129568,0.00129568,0.00129568
20,86.8399,1.56136,0.96549,1.04139,0.63658,0.6684,0.62225,0.37357,1.44692,1.87978,1.38019,0.00127505,0.00127505,0.00127505
21,89.4467,1.56221,1.04927,1.03887,0.65131,0.70726,0.65265,0.36789,1.55948,2.22451,1.49564,0.00125442,0.00125442,0.00125442
22,92.9873,1.53772,0.96782,1.04935,0.47713,0.7735,0.62119,0.37783,1.31851,2.82858,1.24784,0.00123379,0.00123379,0.00123379
23,95.5831,1.67904,1.20382,1.04587,0.75463,0.85043,0.82007,0.47291,1.35919,1.12226,1.24078,0.00121316,0.00121316,0.00121316
24,98.2828,1.87745,1.15911,0.99321,0.88245,0.79487,0.83743,0.48951,1.37013,1.08792,1.0982,0.00119253,0.00119253,0.00119253
25,100.833,1.62817,0.9844,1.01272,0.92795,0.76709,0.8266,0.50573,1.3516,1.05869,1.12162,0.0011719,0.0011719,0.0011719
26,103.684,1.51488,0.99476,1.01039,0.56675,0.75641,0.69612,0.42936,1.33073,1.41917,1.12686,0.00115127,0.00115127,0.00115127
27,106.94,1.61965,0.93835,0.99818,0.68735,0.82265,0.804,0.48426,1.24052,1.01514,1.05228,0.00113064,0.00113064,0.00113064
28,109.518,1.52844,0.92089,1.00517,0.74989,0.67949,0.76376,0.50074,1.21893,0.79801,1.0339,0.00111001,0.00111001,0.00111001
29,112.071,1.47169,0.89181,0.9873,0.69642,0.74737,0.74048,0.51949,1.12538,0.84595,1.01999,0.00108938,0.00108938,0.00108938
30,114.612,1.55615,0.89698,0.97208,0.87738,0.76282,0.80659,0.53265,1.089,0.82956,1.02902,0.00106876,0.00106876,0.00106876
31,118.138,1.47224,0.91501,0.9712,0.77649,0.73352,0.78341,0.53105,1.13345,0.91647,1.0291,0.00104813,0.00104813,0.00104813
32,120.819,1.59368,0.91809,0.97021,0.80187,0.7341,0.76913,0.50864,1.20184,1.01557,1.05458,0.0010275,0.0010275,0.0010275
33,123.364,1.54334,1.00982,1.02805,0.75279,0.79969,0.74867,0.51535,1.14298,0.84218,1.01982,0.00100687,0.00100687,0.00100687
34,125.855,1.58831,0.96432,0.95487,0.81664,0.80796,0.79517,0.55532,1.15289,0.76564,1.01843,0.000986239,0.000986239,0.000986239
35,128.414,1.57383,0.95353,1.01337,0.9409,0.83774,0.84869,0.53772,1.08754,0.66924,1.01952,0.00096561,0.00096561,0.00096561
36,131.93,1.3431,0.82015,0.95036,0.91988,0.87821,0.91108,0.58517,1.1001,0.67116,1.00671,0.000944981,0.000944981,0.000944981
37,134.563,1.36437,0.82902,0.96192,0.94493,0.79863,0.82331,0.52969,1.22469,0.724,1.02781,0.000924352,0.000924352,0.000924352
38,137.142,1.41107,0.82689,0.95387,0.94016,0.76068,0.8515,0.51026,1.10154,0.68219,0.98274,0.000903722,0.000903722,0.000903722
39,139.672,1.46378,0.88475,0.94455,0.94297,0.7778,0.8612,0.56307,1.05603,0.65696,0.97262,0.000883093,0.000883093,0.000883093
40,142.311,1.22908,0.94731,0.83174,0.83651,0.81197,0.89473,0.53883,1.12929,0.69092,0.98943,0.000862464,0.000862464,0.000862464
41,145.659,1.27671,0.96298,0.98504,0.9403,0.81197,0.87381,0.58,1.11109,0.67348,1.00027,0.000841835,0.000841835,0.000841835
42,148.263,1.44219,0.78885,0.95552,0.84223,0.84306,0.87241,0.56346,1.11266,0.92288,1.02484,0.000821206,0.000821206,0.000821206
43,150.784,1.33115,0.84588,0.92606,0.75487,0.86036,0.83394,0.54263,1.07531,0.86243,1.01315,0.000800577,0.000800577,0.000800577
44,153.261,1.33616,0.80019,0.94841,0.91455,0.8384,0.88312,0.59569,1.06083,0.57678,0.99685,0.000779948,0.000779948,0.000779948
45,156.435,1.63665,0.916,0.9629,0.95875,0.77555,0.86991,0.57398,1.10609,0.6151,1.01717,0.000759318,0.000759318,0.000759318
46,159.676,1.35684,0.80856,0.98852,1,0.80729,0.88143,0.57585,1.13628,0.59625,1.03662,0.000738689,0.000738689,0.000738689
47,162.256,1.46883,0.96347,0.9515,0.92689,0.78739,0.88434,0.56148,1.07601,0.59335,1.00426,0.00071806,0.00071806,0.00071806
48,164.755,1.33907,0.82065,0.92829,0.98733,0.78928,0.89056,0.54689,1.15249,0.65459,1.02899,0.000697431,0.000697431,0.000697431
49,167.328,1.26539,0.75014,0.96232,1,0.81922,0.89615,0.57069,1.13828,0.62959,1.00751,0.000676802,0.000676802,0.000676802
50,170.698,1.36842,0.7796,0.93748,0.92651,0.82048,0.88771,0.57776,1.07475,0.58805,0.97655,0.000656173,0.000656173,0.000656173
51,173.519,1.3873,0.75544,0.91877,0.89429,0.87108,0.90691,0.57279,1.0902,0.59821,0.9886,0.000635544,0.000635544,0.000635544
52,176.13,1.34418,0.78789,1.05298,0.87798,0.81197,0.86899,0.59627,1.05438,0.59949,1.05328,0.000614915,0.000614915,0.000614915
53,178.72,1.19362,0.74487,0.92379,0.858,0.81197,0.82796,0.55562,1.06888,0.61388,1.08862,0.000594286,0.000594286,0.000594286
54,181.356,1.46607,1.03504,0.97132,0.81575,0.85043,0.85719,0.54171,1.06861,0.66873,1.02956,0.000573656,0.000573656,0.000573656
55,184.86,1.21274,0.6886,0.94124,0.90326,0.78233,0.85758,0.56592,1.07635,0.63245,1.05309,0.000553027,0.000553027,0.000553027
56,187.42,1.1895,0.71487,0.92245,0.90642,0.81197,0.84288,0.56234,1.10251,0.6695,1.04686,0.000532398,0.000532398,0.000532398
57,189.935,1.26538,0.74254,0.90349,0.90122,0.8005,0.8653,0.55085,1.07034,0.64112,0.98587,0.000511769,0.000511769,0.000511769
58,192.469,1.23557,0.68428,0.9141,0.9118,0.8094,0.84606,0.57658,1.00315,0.57393,0.96216,0.00049114,0.00049114,0.00049114
59,195.432,1.11934,0.74049,0.95513,0.88206,0.7735,0.81371,0.5846,0.99364,0.59439,0.95673,0.000470511,0.000470511,0.000470511
60,198.552,1.27345,1.02092,1.08689,0.87447,0.80127,0.85042,0.5636,1.04193,0.60237,0.95919,0.000449882,0.000449882,0.000449882
61,201.192,1.34952,0.81537,0.97204,0.88071,0.81197,0.85471,0.5618,1.03724,0.59174,0.95881,0.000429253,0.000429253,0.000429253
62,203.971,1.25408,0.74118,0.91771,0.88913,0.81197,0.85946,0.57267,0.98528,0.53879,0.94954,0.000408623,0.000408623,0.000408623
63,206.451,1.15635,0.70827,0.99198,0.9265,0.81197,0.85335,0.58341,0.9426,0.55072,0.93818,0.000387994,0.000387994,0.000387994
64,209.882,1.08686,0.78211,0.94083,0.982,0.81197,0.86512,0.58101,0.95693,0.55935,0.94147,0.000367365,0.000367365,0.000367365
65,212.529,1.05456,0.63364,0.80918,0.95937,0.83974,0.8862,0.60913,0.96424,0.58834,0.94016,0.000346736,0.000346736,0.000346736
66,215.079,1.13811,0.70048,0.93861,0.96229,0.83974,0.88227,0.55529,1.00044,0.56747,0.9965,0.000326107,0.000326107,0.000326107
67,217.509,1.00897,0.66101,0.80874,0.9742,0.83974,0.89833,0.57815,0.98204,0.55662,1.00607,0.000305478,0.000305478,0.000305478
68,220.227,1.12177,0.67392,0.91609,0.98255,0.83974,0.89275,0.5646,1.00676,0.5546,1.01493,0.000284849,0.000284849,0.000284849
69,223.982,1.11437,0.6547,0.88531,0.96084,0.83974,0.90504,0.57957,1.01987,0.56753,1.00759,0.00026422,0.00026422,0.00026422
70,226.556,1.09616,0.63893,0.92136,0.94797,0.81197,0.88424,0.57997,1.04155,0.58556,0.99307,0.00024359,0.00024359,0.00024359
71,235.498,1.02056,0.73409,0.87191,0.90981,0.79616,0.89415,0.60689,1.01199,0.58593,0.98955,0.000222961,0.000222961,0.000222961
72,240.092,1.01445,0.62769,0.86731,0.93415,0.78419,0.85818,0.60746,0.99904,0.56668,0.96833,0.000202332,0.000202332,0.000202332
73,243.837,1.13783,0.63396,0.8322,0.95037,0.78419,0.87718,0.59823,1.00573,0.54756,0.96388,0.000181703,0.000181703,0.000181703
74,247.367,0.9967,0.65414,0.76215,0.9377,0.78419,0.88195,0.59919,0.98792,0.54669,0.95869,0.000161074,0.000161074,0.000161074
75,250.593,0.99597,0.62376,0.88455,0.92624,0.81197,0.86632,0.57497,0.99205,0.54704,0.95687,0.000140445,0.000140445,0.000140445
76,253.072,0.99632,0.61847,0.85328,0.92589,0.81197,0.86658,0.58929,0.97486,0.5413,0.95508,0.000119816,0.000119816,0.000119816
77,255.749,1.04366,0.63118,0.86595,0.92239,0.81197,0.88381,0.60032,0.96633,0.53222,0.95039,9.91865e-05,9.91865e-05,9.91865e-05
78,258.331,1.16375,0.74013,0.8757,0.91992,0.81197,0.90313,0.5842,0.97061,0.53161,0.95589,7.85574e-05,7.85574e-05,7.85574e-05
79,261.774,0.99562,0.6335,0.86649,0.92754,0.79247,0.88402,0.57477,0.98884,0.52855,0.95699,5.79283e-05,5.79283e-05,5.79283e-05
80,264.452,1.03231,0.58799,0.86051,0.91848,0.81197,0.88281,0.5751,0.98133,0.53015,0.95591,3.72991e-05,3.72991e-05,3.72991e-05
